"company_name","company_number","company_status","company_type","company_subtype","removed_date","registered_date","nature_of_business","registered_office_address","postcode","sectorCodes","incorporation_year","incorporation_month","incorporation_day","dissolution_year","dissolution_month","dissolution_day","Latitude","Longitude"
"SOMMAR BREW LTD","12096644","Active","Private limited company","","","","11050","41 St Marks Cresent Ladywood Birmingham B1 2PY","B1 2PY","11","2019","7","11","","","","52.482719642857155","-1.9217571071428572",
"HOLLOWAY BIRMINGHAM HOLDINGS LTD","12123378","Active","Private limited company","","","","64209","89 Holloway Road Birmingham B1 1QP","B1 1QP","64","2019","7","26","","","","52.473725200000004","-1.903985",
"LEVI ISLAND LIMITED","12793370","Active","Private limited company","","","","68100 68209","Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","68 ","2020","8","5","","","","52.47404376923077","-1.9075247692307695",
"PERDORIMI SOLUTIONS LTD","12828273","Active","Private limited company","","","","82990","7 Commercial Street Birmingham B1 1RS","B1 1RS","82","2020","8","21","","","","52.47505","-1.906716",
"AJD MIDLANDS LIMITED","12808222","Active","Private limited company","","","","68209","74-86 John Bright St Birmingham B1 1BN","B1 1BN","68","2020","8","12","","","","52.47608014285714","-1.9007327142857144",
"GIMME GOLD LIMITED","12812379","Active","Private limited company","","","","47910 47990","Unit 304 The Argent Centre 60 Frederick Street Birmingham B1 3HS","B1 3HS","47 ","2020","8","14","","","","52.484604","-1.911609",
"CYBERQ GROUP OFFSHORE LTD","12819833","Active","Private limited company","","","","62020","Alpha Works Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","62","2020","8","18","","","","52.47851563636364","-1.9062289090909095",
"WOODLAWN PROPERTY INVESTMENTS LTD","12835937","Active","Private limited company","","","","68100 68201 68209 68320","C/O Vaghela & Co (Services) Ltd Studio 10 Clark's Courtyard, 145 Granville Street Birmingham B1 1SB","B1 1SB","68   ","2020","8","25","","","","52.4742084047619","-1.9082864761904754",
"EDWARD BELGRAVE INVESTMENTS LIMITED","12719733","Active","Private limited company","","","","64304 82990","Apartment 2001 The Cube East Wharfside Street Birmingham B1 1PT","B1 1PT","64 82","2020","7","5","","","","52.474886","-1.906954",
"HARRIS ASSET HOLDINGS LIMITED","11415647","Active","Private limited company","","","","82990","C/O Studio 12a Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","82","2018","6","14","","","","52.47404376923077","-1.9075247692307695",
"BIRMINGHAM DESIGN LTD","10993221","Active","Private limited by guarantee without share capital","","","","96090","The Jointworks 62-64 Albion Street Birmingham B1 3EA","B1 3EA","96","2017","10","3","","","","52.48482691666667","-1.9131224166666667",
"QG CONSULTING LIMITED","11002269","Active","Private limited company","","","","70229","Suite 3 4th Floor Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","70","2017","10","9","","","","52.47630830000001","-1.9026450999999998",
"GDPF LIMITED","11024703","Active","Private limited company","","","","49410","Office 1 Izabella House 24-26 Regent Place Birmingham B1 3NJ","B1 3NJ","49","2017","10","20","","","","52.48616493333334","-1.9100368",
"HAPPY & HEALTHY LIMITED","11057558","Active","Private limited company","","","","82990","Suite 13 4th Floor Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","82","2017","11","10","","","","52.47630830000001","-1.9026450999999998",
"CMSK LTD","11929843","Active","Private limited company","","","","56302","41 St Marks Cresent Ladywood Birmingham B1 2PY","B1 2PY","56","2019","4","5","","","","52.482719642857155","-1.9217571071428572",
"BEYOND (LOMBARD LH) LTD","11937589","Active","Private limited company","","","","68100 68209","Beyond House Beyond Property Group 55 Holloway Head Birmingham B1 1HP","B1 1HP","68 ","2019","4","10","","","","52.474298111111096","-1.9031511111111112",
"STYLISH CONSULTING LIMITED","11520433","Active","Private limited company","","","","82990","Suite 3 4th Floor, Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","82","2018","8","16","","","","52.47630830000001","-1.9026450999999998",
"JEMZ NAILZ LTD","12008465","Active","Private limited company","","","","96020","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","96","2019","5","21","","","","52.48520935714286","-1.910360785714286",
"MY FAREWELL LTD","11010637","Active","Private limited company","","","","18202 59112 59132","3 Brindley Place Birmingham B1 2JB","B1 2JB","18 59 ","2017","10","12","","","","52.47831","-1.913089",
"KEYMOVE BRADFORD LTD","11046409","Active","Private limited company","","","","68310 70229","Unit 3 28-29 Tenby Street Birmingham B1 3EE","B1 3EE","68 70","2017","11","3","","","","52.485860636363626","-1.9136960909090908",
"CAT 20 LTD","11064494","Active","Private limited company","","","","99999","C/O Bcd Chartered Accountants Second Floor 21 Graham Street Birmingham B1 3JR","B1 3JR","99","2017","11","15","","","","52.48450342222223","-1.9099816444444448",
"GOLDEN DRAGON 6 LIMITED","11071852","Active","Private limited company","","","","56103","Suite 3 4th Floor Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","56","2017","11","20","","","","52.47630830000001","-1.9026450999999998",
"ZEN CHELMSFORD LIMITED","11223858","Active","Private limited company","","","","56101","Suite 3 4th Floor Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","56","2018","2","26","","","","52.47630830000001","-1.9026450999999998",
"LE MYSTIC RESTAURANT LTD","11248930","Active","Private limited company","","","","56102 56210 56290","10 King Edwards Road Birmingham B1 2PZ","B1 2PZ","56  ","2018","3","11","","","","52.483562","-1.9207",
"JIMMY'S RESTAURANT AND BAR MEDITERRANEAN LIMITED","11152435","Active","Private limited company","","","","56101","22 Waterfront Walk Birmingham B1 1SN","B1 1SN","56","2018","1","16","","","","52.4754675","-1.907510125",
"TH CORNWALL LIMITED","11154003","Active","Private limited company","","","","56101","Suite F10 5th Flr Scala Hse 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2018","1","17","","","","52.47464754545455","-1.899698",
"LEONARDO JOHN DALTON HOUSE LTD","10810269","Active","Private limited company","","","","55100","245 Broad Street Birmingham B1 2HQ","B1 2HQ","55","2017","6","8","","","","52.476852","-1.911821",
"MAXIMMA PROPERTIES LTD","11475962","Active","Private limited company","","","","68209","Office 1 Izabella House 24 - 26 Regent Place Birmingham B1 3NJ","B1 3NJ","68","2018","7","20","","","","52.48616493333334","-1.9100368",
"LINCOLN STREET LIMITED","11484663","Active","Private limited company","","","","56101","C/O Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","56","2018","7","26","","","","52.47404376923077","-1.9075247692307695",
"LINGS CHINESE LIMITED","11485840","Active","Private limited company","","","","56103","Suite 3 4th Floor, Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","56","2018","7","26","","","","52.47630830000001","-1.9026450999999998",
"EGGMINT CONSULTING LIMITED","11491943","Active","Private limited company","","","","62020","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","62","2018","7","31","","","","52.4770443076923","-1.9080292307692308",
"GREENGATE CONSULTANCY LTD","11504488","Active","Private limited company","","","","70229","Unit 1 Bridge Street Birmingham B1 2JS","B1 2JS","70","2018","8","7","","","","52.4770443076923","-1.9080292307692308",
"TOO MANY ROBOTS LIMITED","7313320","Active","Private limited company","","","","90020","9 - 11 Vittoria Street Birmingham B1 3ND","B1 3ND","90","2010","7","13","","","","52.48520935714286","-1.910360785714286",
"PMTC INTERNATIONAL LIMITED","5959126","Active","Private limited company","","","","74990","Albert House Quay Place Edward Street Birmingham B1 2RA","B1 2RA","74","2006","10","6","","","","52.48110012","-1.9130783599999999",
"ASSURED HOUSING LTD","6401327","Active","Private limited company","","","","98000","Regus One Victoria Square Birmingham B1 2BD","B1 2BD","98","2007","10","17","","","","49.4858231","8.4637956",
"GARCHA BROTHERS LTD","6400906","Active","Private limited company","","","","56103","38 Carver Street Birmingham B1 3AS","B1 3AS","56","2007","10","16","","","","52.48583566666667","-1.916100555555556",
"KSARO LIMITED","7414217","Active","Private limited company","","","","41100 68100 68209 68320","Studio 10 145 Granville Street Birmingham B1 1SB","B1 1SB","41 68  ","2010","10","20","","","","52.47404376923077","-1.9075247692307695",
"BLACK CAT THINKING LIMITED","6661320","Active","Private limited company","","","","70229","C/O National Business Register Group Ltd Ground Floor 3 Sovereign Court Graham Street Birmingham B1 3JR","B1 3JR","70","2008","7","31","","","","52.48450342222223","-1.9099816444444448",
"LIGHTWAVERF LTD","6690180","Active","Private limited company","","","","70100","The Assay Office 1 Moreton Street Birmingham B1 3AX","B1 3AX","70","2008","9","5","","","","52.48636159999999","-1.917498666666667",
"EMI-MEC LIMITED","6247936","Active","Private limited company","","","","74990","C/O Bcd Chartered Accountants Second Floor 21 Graham Street Birmingham B1 3JR","B1 3JR","74","2007","5","15","","","","52.48450342222223","-1.9099816444444448",
"INVESTABROAD PROPERTIES LIMITED","4284063","Active","Private limited company","","","","68310","Gn House 119 Holloway Head Birmingham B1 1QP","B1 1QP","68","2001","9","10","","","","52.473734","-1.9044521666666665",
"GALLAN GROUP LIMITED","7409640","Active","Private limited company","","","","68100 68320","George Nott House 3rd Floor 119 Holloway Head Birmingham B1 1QP","B1 1QP","68 ","2010","10","15","","","","52.473734","-1.9044521666666665",
"EXPRESS NELSON LIMITED","12967593","Active","Private limited company","","","","56103","C/O Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","56","2020","10","22","","","","52.47404376923077","-1.9075247692307695",
"HAIUANGGE LIMITED","12971608","Active","Private limited company","","","","56101","Basement 86 Holloway Head Birmingham B1 1NB","B1 1NB","56","2020","10","23","","","","52.473471","-1.903633",
"ERYXGEAR LTD","12971744","Active","Private limited company","","","","46420","Izabella House Office1 24-26 Regent Place Birmingham B1 3NJ","B1 3NJ","46","2020","10","23","","","","52.48616493333334","-1.9100368",
"FRIEND LLP","OC304123","Active","Limited liability partnership","","",""," ","Eleven Brindleyplace 2 Brunswick Square Birmingham B1 2LP","B1 2LP","","2003","3","11","","","","52.476727","-1.914361",
"TABU BAR AND RESTAURANT LTD","12936750","Active","Private limited company","","","","82990","Unit 2 16-17 Newhall Hill Birmingham B1 3JH","B1 3JH","82","2020","10","8","","","","52.483649","-1.910932",
"ENTEC SI SOLUTIONS LIMITED","12669168","Active","Private limited company","","","","62020","Alpha Works Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","62","2020","6","13","","","","52.47851563636364","-1.9062289090909095",
"MARINERS CHIPPY LTD","12139920","Active","Private limited company","","","","56103","Vaghela & Co (Services) Ltd Studio 10 Clarks Courtyard 145 Granville Street B1 1SB","B1 1SB","56","2019","8","5","","","","52.4742084047619","-1.9082864761904754",
"JOE LAW PROPERTY LTD","12163129","Active","Private limited company","","","","68100 68209 68320","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","68  ","2019","8","19","","","","52.48211","-1.915795",
"CEASEFIRE INDUSTRIES U.K. LIMITED","12190347","Active","Private limited company","","","","74909 80200 84250","Office No 301.3 One Victoria Square Birmingham B1 1BD","B1 1BD","74 80 84","2019","9","5","","","","52.478892","-1.902826",
"HONGS FOOD LIMITED","12195407","Active","Private limited company","","","","56103","Suite F10 5th Floor Scala House 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2019","9","9","","","","52.47464754545455","-1.899698",
"SOLAS MIND LTD","12196100","Active","Private limited company","","","","86900","Uhy Hacker Young (Birmingham) 9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","86","2019","9","9","","","","52.48520935714286","-1.910360785714286",
"JAMES COLEY LTD","12197516","Active","Private limited company","","","","80100","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","80","2019","9","9","","","","52.48211","-1.915795",
"CLAIM NOW LTD","12211556","Active","Private limited company","","","","70229","Alexander House 60-61 Tenby Street North Birmingham B1 3EG","B1 3EG","70","2019","9","17","","","","52.486492428571424","-1.9136612857142856",
"VOLUME PROJECTS LIMITED","12188152","Active","Private limited company","","","","41100 68320","5 Legge Lane Birmingham B1 3LD","B1 3LD","41 68","2019","9","4","","","","52.4843162","-1.9138808",
"EF CLOTHES LIMITED","12198677","Active","Private limited company","","","","47510","10 Clark's Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","47","2019","9","10","","","","52.47404376923077","-1.9075247692307695",
"ALITTLE-TEA LIMITED","11641687","Active","Private limited company","","","","56290","Suite 3 4th Floor, Queens Gate 121 Suffolk Street Queensway Birmingham B1 1LX","B1 1LX","56","2018","10","25","","","","52.47630830000001","-1.9026450999999998",
"HANS SCHMIDT & CO LIMITED","11646194","Active","Private limited company","","","","47910","Office 1 Izabella House 24-26 Regent Place Birmingham B1 3NJ","B1 3NJ","47","2018","10","29","","","","52.48616493333334","-1.9100368",
"UNICRIBS LTD","11650073","Active","Private limited company","","","","86900","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","86","2018","10","30","","","","52.48211","-1.915795",
"GOLD GEMS 56 LIMITED","11650308","Active","Private limited company","","","","82990","Suite F10 5th Flr Scala Hse 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","82","2018","10","30","","","","52.47464754545455","-1.899698",
"KAM VISUALS LTD","11652022","Active","Private limited company","","","","59112","3 Fournier House 8 Tenby Street Birmingham B1 3AJ","B1 3AJ","59","2018","10","31","","","","52.485326333333326","-1.913881",
"HOLY-ANGEL CHURCH 2019 LIMITED","12251308","Active","Private limited company","","","","56103","Suite F10 5th Floor Scala House 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2019","10","9","","","","52.47464754545455","-1.899698",
"NEW GARDEN SQUARE LAND CO LIMITED","12289126","Active","Private limited company","","","","68100","23rd Floor Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","68","2019","10","30","","","","52.47851563636364","-1.9062289090909095",
"MAYBE SOLUTIONS LTD","9195496","Active","Private limited company","","","","62012","11 Brindley Place Brunswick Square Birmingham B1 2LP","B1 2LP","62","2014","8","30","","","","52.476727","-1.914361",
"K BEST CHEF LIMITED","9649670","Active","Private limited company","","","","56103","1 Victoria Square Birmingham B1 1BD","B1 1BD","56","2015","6","20","","","","52.478892","-1.902826",
"GCX CAPITAL LTD","13008417","Active","Private limited company","","","","64301 64304 64306","3 Fournier House 8 Tenby Street Birmingham B1 3AJ","B1 3AJ","64  ","2020","11","10","","","","52.485326333333326","-1.913881",
"CLAREMONT PROPERTY PORTFOLIO LIMITED","3927354","Active","Private limited company","","","","68209 68310 68320","18-21 Summer Hill Terrace Birmingham B1 3RA","B1 3RA","68  ","2000","2","16","","","","52.48273066666667","-1.9131108333333333",
"BRN ACCOUNTANTS LIMITED","8841557","Active","Private limited company","","","","69201 69203","12 Summer Hill Street Birmingham B1 2PE","B1 2PE","69 ","2014","1","13","","","","52.48211","-1.915795",
"LETS GROW TOGETHER C.I.C.","4631770","Active","Private limited company","Community Interest Company (CIC)","","","82990","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","82","2003","1","9","","","","52.48520935714286","-1.910360785714286",
"FINANCIAL BUSINESS SERVICES LIMITED","11277209","Active","Private limited company","","","","69201 69202 69203 70221","Apartment 312 126 Pope Street Apartment 312 126 Pope Street Birmingham B1 3DU","B1 3DU","69   70","2018","3","27","","","","52.485339499999995","-1.9173857",
"GLAMPING LIMITED","8564624","Active","Private limited company","","","","55209","Apartment 301 Canal Wharf 14 Waterfront Walk Birmingham B1 1SR","B1 1SR","55","2013","6","11","","","","52.47564323076923","-1.907651769230769",
"CCS (BIRMINGHAM) LIMITED","973358","Active","Private limited by guarantee without share capital","","","","85590","E.R. Mason Youth Centre 40 Irving Street Birmingham B1 1DH","B1 1DH","85","1970","2","26","","","","52.47274075","-1.902636125",
"SHAWNDA HEMPHILL LIMITED","12141728","Active","Private limited company","","","","46900 47910","Eleven Brindley Place Brunswick Square Birmingham B1 2LP","B1 2LP","46 47","2019","8","6","","","","52.476727","-1.914361",
"NEW HAMPTON GROUP LIMITED","7198073","Active","Private limited company","","","","64304 81100","Studio 10 145 Granville Street Birmingham B1 1SB","B1 1SB","64 81","2010","3","22","","","","52.47404376923077","-1.9075247692307695",
"AJY PROPERTY LIMITED","9586093","Active","Private limited company","","","","55209","1 Sutton Street Birmingham B1 1PE","B1 1PE","55","2015","5","12","","","","52.47259833333333","-1.9037765555555555",
"PAYTIN CONSULTANCY LIMITED","13086394","Active","Private limited company","","","","70229","Bcd Chartered Accountants Second Floor 21 Graham Street Birmingham B1 3JR","B1 3JR","70","2020","12","17","","","","52.484486000000004","-1.911102125",
"SHARS CAPITAL LIMITED","10451907","Active","Private limited company","","","","68209","9-11 Vittoria Street Birmingham B1 3ND","B1 3ND","68","2016","10","28","","","","52.48520935714286","-1.910360785714286",
"RAB COMMERCIAL PROPERTY LIMITED","8394377","Active","Private limited company","","","","74909","9 - 11 Vittoria Street Birmingham B1 3ND","B1 3ND","74","2013","2","7","","","","52.48520935714286","-1.910360785714286",
"PATODI PROPERTY LTD","11363567","Active","Private limited company","","","","68100","Suite 3 Falcon Works House 40 Regent Place Birmingham B1 3NN","B1 3NN","68","2018","5","15","","","","52.48621985714286","-1.9092212857142858",
"WHITE ROSE REAL ESTATES LIMITED","2124368","Active","Private limited company","","","","68310","George Nott House 119 Holloway Head Birmingham B1 1QP","B1 1QP","68","1987","4","21","","","","52.473734","-1.9044521666666665",
"NORTHWICK POWER LIMITED","13503522","Active","Private limited company","","","","35110","Floor 15 Alpha Tower Suffolk Street Queensway Birmingham B1 1TT","B1 1TT","35","2021","7","9","","","","52.47851563636364","-1.9062289090909095",
"PJC PRODUCE LTD","13068218","Active","Private limited company","","","","46310","Sapphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","46","2020","12","7","","","","52.48544128571429","-1.9140940000000002",
"CHECK MY MORTGAGE LTD","13791431","Active","Private limited company","","","","64922 66220","20 Carver Street Birmingham B1 3AS","B1 3AS","64 66","2021","12","9","","","","52.48583566666667","-1.916100555555556",
"DIGITAL WEALTH ACADEMY LTD","11050613","Active","Private limited company","","","","85590","Lonsdale House Suite 314b Blucher Street Birmingham B1 1QU","B1 1QU","85","2017","11","7","","","","52.47479288888889","-1.9034657777777777",
"THE PARK PLAYGROUND UK LIMITED","12589973","Active","Private limited company","","","","58210 62011 62012 93210","3 Brindley Place Birmingham B1 2JB","B1 2JB","58 62  93","2020","5","6","","","","52.47831","-1.913089",
"MONEY FRESH LIMITED","8131542","Active","Private limited company","","","","70221","31 Frederick Street The Jewellery Quarter Birmingham B1 3HH","B1 3HH","70","2012","7","5","","","","52.48655575","-1.912026875",
"QAZI & QAZI LIMITED","13183492","Active","Private limited company","","","","47110","46 Holloway Head Birmingham B1 1NG","B1 1NG","47","2021","2","5","","","","52.47413914285715","-1.901841142857143",
"AVISON YOUNG PROJECT MANAGEMENT LIMITED","2774669","Active","Private limited company","","","","68310","3 Brindley Place Birmingham B1 2JB","B1 2JB","68","1992","12","17","","","","52.47831","-1.913089",
"PRAWN BLAYDON LIMITED","11749324","Active","Private limited company","","","","56103","C/O Studio 1 Clarks Courtyard 145 Granville Street Birmingham B1 1SB","B1 1SB","56","2019","1","4","","","","52.47404376923077","-1.9075247692307695",
"VALLEY 5DY LIMITED","10826486","Active","Private limited company","","","","56101","Suite F10 5th Flr Scala Hse 36 Holloway Circus Queensway Birmingham B1 1EQ","B1 1EQ","56","2017","6","20","","","","52.47464754545455","-1.899698",
"AB HUSSAIN PROPERTIES LTD","12371910","Active","Private limited company","","","","68100 68201 68209 68320","C/O Vaghela & Co. Services 10 Clarks Courtyard 145 Granville Street B1 1SB","B1 1SB","68   ","2019","12","19","","","","52.4742084047619","-1.9082864761904754",
"EVEREST SECURITIES MT LIMITED","9730416","Active","Private limited company","","","","42220","9 King Edwards Road Birmingham B1 2QA","B1 2QA","42","2015","8","12","","","","52.48275886206896","-1.9193287586206893",
"SUPER GROWTH DIGITAL LTD","13166865","Active","Private limited company","","","","63990 73110 82990","Lonsdale House 52 Blucher Street Birmingham B1 1QU","B1 1QU","63 73 82","2021","1","29","","","","52.47479288888889","-1.9034657777777777",
"BS ENTERPRISES LIMITED","8455586","Active","Private limited company","","","","68209","3 Sovereign Court Graham Street Birmingham B1 3JR","B1 3JR","68","2013","3","21","","","","52.48450019999999","-1.9107869999999998",
"GREEK STREET TAKEWAY LIMITED","13782724","Active","Private limited company","","","","56103","51 Vittoria Street Birmingham B1 3NU","B1 3NU","56","2021","12","5","","","","52.48592714285714","-1.9107901428571428",
"NEXUS SKIN CLINIC LTD","13159507","Active","Private limited company","","","","86220","16 Regent Place Birmingham B1 3NJ","B1 3NJ","86","2021","1","26","","","","52.486107714285716","-1.9102724285714285",
"YUMMY HOME MADE LIMITED","13427467","Active","Private limited company","","","","56102","86 Holloway Head Birmingham B1 1NB","B1 1NB","56","2021","5","28","","","","52.473471","-1.903633",
"LEASE & BUSINESS FINANCE LTD","3341672","Active","Private limited company","","","","64910","2 Fournier House 8 Tenby Street Birmingham B1 3AJ","B1 3AJ","64","1997","3","27","","","","52.485326333333326","-1.913881",
"WHITE JOES LIMITED","10093609","Active","Private limited company","","","","47910","Apartment 102 Carver House 30 Carver Street Birmingham B1 3BF","B1 3BF","47","2016","3","31","","","","52.48572675","-1.9159179999999998",
"B1 MOTOR LIMITED","11710523","Active","Private limited company","","","","45200","20 Florence Street Birmingham B1 1NX","B1 1NX","45","2018","12","4","","","","52.473295","-1.903446",
"PSLC LIMITED","11740348","Active","Private limited company","","","","86900","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","86","2018","12","24","","","","52.4770443076923","-1.9080292307692308",
"HASSAN & HASSAN SOLICITORS LTD","12383418","Active","Private limited company","","","","96090","36 Paradise Street Birmingham B1 2AJ","B1 2AJ","96","2020","1","2","","","","52.478830125","-1.9039355",
"INDIAN AFFAIR LIMITED","11144504","Active","Private limited company","","","","56101","44 Broad Street Birmingham B1 2HP","B1 2HP","56","2018","1","11","","","","52.477823857142866","-1.911374285714286",
"CLAREMONT PG LIMITED","7103066","Active","Private limited company","","","","68310","18-21 Summer Hill Terrace Birmingham B1 3RA","B1 3RA","68","2009","12","12","","","","52.48273066666667","-1.9131108333333333",
"CLAREMONT LIVING LIMITED","8467597","Active","Private limited company","","","","41100 68209","18-21 Summer Hill Terrace Birmingham B1 3RA","B1 3RA","41 68","2013","4","2","","","","52.48273066666667","-1.9131108333333333",
"ADVANCED HEALTH AND CARE LIMITED","2939302","Active","Private limited company","","","","62020","The Mailbox Level 3 101 Wharfside Street Birmingham B1 1RF","B1 1RF","62","1994","6","15","","","","52.475549","-1.905646",
"CREATIVE REAL ESTATE LIMITED","12372789","Active","Private limited company","","","","68310","51 Regent Parade Birmingham B1 3NS","B1 3NS","68","2019","12","20","","","","52.48660433333333","-1.9089587777777777",
"SEVERN ACCOUNTANTS LIMITED","11389850","Active","Private limited company","","","","69201","7-8 Suffolk Street Queensway Birmingham B1 1LT","B1 1LT","69","2018","5","31","","","","52.4758344","-1.9009754",
"ADVANCED COMPUTER SOFTWARE GROUP LIMITED","5965280","Active","Private limited company","","","","64209","The Mailbox Level 3 101 Wharfside Street Birmingham B1 1RF","B1 1RF","64","2006","10","12","","","","52.475549","-1.905646",
"THE GENERAL ASPHALTE PROPERTY  COMPANY LIMITED","11329894","Active","Private limited company","","","","96090","Sapphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","96","2018","4","25","","","","52.48544128571429","-1.9140940000000002",
"FABVIP LIMITED","8220197","Active","Private limited company","","","","47710","C/O Unadkat & Co Ltd 12 The Wharf 16 Bridge Street Birmingham B1 2JS","B1 2JS","47","2012","9","19","","","","52.4770443076923","-1.9080292307692308",
"BLAST FEST LTD","11871174","Active","Private limited by guarantee without share capital","","","","74909 85520 85590 90020","31-33 Sutton Street Sutton Street Birmingham B1 1PE","B1 1PE","74 85  90","2019","3","9","","","","52.47259833333333","-1.9037765555555555",
"PLECK LTD","13248311","Active","Private limited company","","","","45112 45190","Second Floor 21 Graham Street Birmingham B1 3JR","B1 3JR","45 ","2021","3","5","","","","52.48450019999999","-1.9107869999999998",
"AVISON YOUNG (UK) LIMITED","6382509","Active","Private limited company","","","","68310","3 Brindley Place Birmingham B1 2JB","B1 2JB","68","2007","9","26","","","","52.47831","-1.913089",
"EX CATHEDRA LIMITED","2396173","Active","Private limited by guarantee without share capital","","","","90010","Cbso Centre Berkeley Street Birmingham B1 2LF","B1 2LF","90","1989","6","16","","","","52.475575000000006","-1.909458",
"ICAR FINANCE UK LTD","13289403","Active","Private limited company","","","","45112","Eleven Brindley Place 2 Brunswick Square Birmingham B1 2LP","B1 2LP","45","2021","3","24","","","","52.476727","-1.914361",
"HUMANHOOD LTD","11752142","Active","Private limited company","","","","90010","24-26 Office 1 Izabella House 26 Regent Place Birmingham B1 3NJ","B1 3NJ","90","2019","1","7","","","","52.48616493333334","-1.9100368",
"KAINE PROPERTIES LTD","11109952","Active","Private limited company","","","","68100","Sapphire Heights Courtyard 31 Tenby Street North Birmingham B1 3ES","B1 3ES","68","2017","12","13","","","","52.48544128571429","-1.9140940000000002",
"SHRE GROUP LIMITED","11977379","Active","Private limited company","","","","68320 98000","3 Carver Street Birmingham B1 3ER","B1 3ER","68 98","2019","5","3","","","","52.4849146","-1.9146948",
"CYRUS HEALTHCARE SERVICES LIMITED","10034252","Active","Private limited company","","","","86900","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","86","2016","3","1","","","","52.4770443076923","-1.9080292307692308",
"SOLICITORS INDEMNITY FUND LIMITED","2143641","Active","Private limited by guarantee without share capital","","","","82990","The Cube 199 Wharfside Street Birmingham B1 1RN","B1 1RN","82","1987","7","1","","","","52.475075","-1.906753",
"DUFFY DESIGN LIMITED","9719484","Active","Private limited company","","","","74100","Ground Floor Unit 1 The Wharf Bridge Street Birmingham B1 2JS","B1 2JS","74","2015","8","5","","","","52.4770443076923","-1.9080292307692308",
"CSLT MSS LIMITED","11871820","Active","Private limited company","","","","70229","Eleven Brindley Place 2 Brunswick Square Central City B1 2LP","B1 2LP","70","2019","3","9","","","","52.47667346666666","-1.9137406000000001",
"TRADPICK LIMITED","13285304","Active","Private limited company","","","","47910 62090","15 Marshall Street Birmingham B1 1LR","B1 1LR","47 62","2021","3","23","","","","52.474018444444454","-1.903668222222222",
"CISUTTON LTD","12498204","Active","Private limited company","","","","56302","41 St Marks Cresent Ladywood Birmingham B1 2PY","B1 2PY","56","2020","3","4","","","","52.482719642857155","-1.9217571071428572",
"WHITESTOCK PROPERTY LTD","7976028","Active","Private limited company","","","","98000","Alexander House 60-61 Tenby Street North Birmingham B1 3EG","B1 3EG","98","2012","3","5","","","","52.486492428571424","-1.9136612857142856",
"HUMANHOOD DANCE COMPANY LTD","10162897","Active","Private limited by guarantee without share capital","","","","90010","Office 1 Izabella House 24-26 Regent Place, City Centre Birmingham B1 3NJ","B1 3NJ","90","2016","5","4","","","","52.48616493333334","-1.9100368",
"LBF FUNDRIGHT LTD.","3735299","Active","Private limited company","","","","77330","2 Fournier House 8 Tenby Street Birmingham B1 3AJ","B1 3AJ","77","1999","3","17","","","","52.485326333333326","-1.913881",
"MEDICARE BIRMINGHAM LIMITED","10450384","Active","Private limited company","","","","47730","Alexander House 60-61 Tenby Street North Birmingham B1 3EG","B1 3EG","47","2016","10","28","","","","52.486492428571424","-1.9136612857142856",
"BDLT BUILDING SOLUTIONS LTD","13182041","Active","Private limited company","","","","43390","Quay Place Studio Edward Street Birmingham B1 2RA","B1 2RA","43","2021","2","5","","","","52.48110012","-1.9130783599999999",
